Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Connect-4,2/3/1995,N/A,"Multivariate, Spatial",Games,Classification,Categorical,67557,42
MOVER: Medical Informatics Operating Room Vitals and Events Repository,Linked on 9/8/2023,N/A,"Tabular, Sequential, Multivariate, Time-Series",Health and Medicine,"Classification, Regression, Clustering, Other",-,83468,-
Mice Protein Expression,8/3/2015,N/A,Multivariate,Biology,"Classification, Clustering",Real,1080,80
Smartphone Dataset for Anomaly Detection in Crowds,7/4/2021,N/A,Time-Series,Computer Science,Classification,-,14221,-
News Popularity in Multiple Social Media Platforms,2/19/2018,N/A,"Multivariate, Time-Series, Text",Computer Science,Regression,"Integer, Real",93239,-
Bone marrow transplant: children,4/20/2020,N/A,Multivariate,Health and Medicine,"Classification, Regression","Integer, Real",187,36
Recipe Reviews and User Feedback,10/23/2023,N/A,"Tabular, Other",Computer Science,"Classification, Other","Real, Categorical, Integer",18182,15
HTRU2,2/13/2017,N/A,Multivariate,Physics and Chemistry,"Classification, Clustering",Real,17898,8
Statlog (Vehicle Silhouettes),N/A,N/A,Multivariate,Other,Classification,Integer,946,18
Jute Pest,11/17/2023,N/A,Image,Biology,"Classification, Other",Categorical,7235,17
Bag of Words,3/11/2008,N/A,Text,Other,Clustering,Integer,8000000,100000
YouTube Spam Collection,3/25/2017,N/A,Text,Computer Science,Classification,-,1956,3
Student Performance on an Entrance Examination,12/9/2018,N/A,Multivariate,Computer Science,Classification,-,666,11
PPG-DaLiA,7/29/2019,N/A,"Multivariate, Time-Series",Computer Science,Regression,Real,8300000,-
Diabetic Retinopathy Debrecen,11/2/2014,N/A,Multivariate,Health and Medicine,Classification,"Integer, Real",1151,19
FMA: A Dataset For Music Analysis,5/23/2017,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Clustering",Real,106574,-
RealWaste,10/17/2023,N/A,Image,Computer Science,Classification,-,4752,-
US Census Data (1990),N/A,N/A,Multivariate,Social Science,Clustering,Categorical,2458285,68
Incident management process enriched event log,7/13/2019,N/A,"Multivariate, Sequential",Business,"Regression, Clustering",Integer,141712,36
Cuff-Less Blood Pressure Estimation,7/26/2015,N/A,Multivariate,Health and Medicine,"Classification, Regression",Real,12000,-
Reuters-21578 Text Categorization Collection,9/25/1997,N/A,Text,Business,Classification,Categorical,21578,5
ImageNet,Linked on 11/26/2021,N/A,Image,Computer Science,Classification,-,14000000,-
